,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner
1490,Sergio Moraes,Luan Chagas,0,1,28 of 54,46 of 115,51%,40%,56 of 84,58 of 128,0 of 4,0 of 1,0%,0%,1,0,5,1,0,1,21 of 44,23 of 82,5 of 8,10 of 19,2 of 2,13 of 14,19 of 43,42 of 107,3 of 4,2 of 2,6 of 7,2 of 6,Decision - Split,3,5:00,3 Rnd (5-5-5),Osiris Maia,2016-05-14,"Curitiba, Parana, Brazil",Welterweight Bout,
1491,Renato Moicano,Zubaira Tukhugov,0,0,44 of 129,29 of 112,34%,25%,52 of 137,32 of 115,0 of 0,3 of 8,0%,37%,0,0,1,0,0,0,21 of 98,24 of 100,5 of 11,5 of 12,18 of 20,0 of 0,41 of 124,26 of 106,1 of 3,0 of 1,2 of 2,3 of 5,Decision - Split,3,5:00,3 Rnd (5-5-5),Eduardo Herdy,2016-05-14,"Curitiba, Parana, Brazil",Featherweight Bout,Renato Moicano
1492,Alistair Overeem,Andrei Arlovski,1,0,23 of 30,16 of 33,76%,48%,33 of 41,29 of 46,1 of 1,0 of 0,100%,0%,0,0,1,0,0,0,13 of 19,10 of 25,8 of 9,3 of 3,2 of 2,3 of 5,9 of 10,13 of 29,4 of 5,1 of 2,10 of 15,2 of 2,KO/TKO,2,1:12,5 Rnd (5-5-5-5-5),Marc Goddard,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Heavyweight Bout,Alistair Overeem
1493,Antonio Silva,Stefan Struve,0,1,0 of 1,13 of 16,0%,81%,0 of 1,15 of 18,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,0 of 0,12 of 15,0 of 1,1 of 1,0 of 0,0 of 0,0 of 1,1 of 1,0 of 0,1 of 3,0 of 0,11 of 12,KO/TKO,1,0:16,3 Rnd (5-5-5),Leon Roberts,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Heavyweight Bout,Stefan Struve
1494,Albert Tumenov,Gunnar Nelson,0,0,23 of 41,29 of 44,56%,65%,24 of 43,41 of 56,0 of 0,2 of 2,0%,100%,0,1,0,4,0,0,9 of 27,25 of 39,12 of 12,4 of 5,2 of 2,0 of 0,21 of 37,15 of 29,2 of 3,0 of 1,0 of 1,14 of 14,Submission,2,3:15,3 Rnd (5-5-5),Marc Goddard,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Welterweight Bout,Gunnar Nelson
1495,Germaine de Randamie,Anna Elmose,1,0,18 of 29,6 of 10,62%,60%,23 of 34,32 of 43,0 of 0,0 of 5,0%,0%,0,0,1,0,0,0,9 of 19,2 of 3,9 of 10,2 of 5,0 of 0,2 of 2,7 of 16,2 of 4,11 of 13,4 of 6,0 of 0,0 of 0,KO/TKO,1,3:46,3 Rnd (5-5-5),Rich Mitchell,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Women's Bantamweight Bout,Germaine de Randamie
1496,Nikita Krylov,Francimar Barroso,0,0,58 of 88,22 of 36,65%,61%,115 of 152,34 of 51,0 of 2,2 of 7,0%,28%,1,0,2,0,1,0,33 of 55,17 of 31,18 of 24,3 of 3,7 of 9,2 of 2,12 of 38,12 of 24,27 of 30,9 of 10,19 of 20,1 of 2,Submission,2,3:11,3 Rnd (5-5-5),Lukasz Bosacki,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Light Heavyweight Bout,Nikita Krylov
1497,Karolina Kowalkiewicz,Heather Jo Clark,0,0,119 of 261,70 of 152,45%,46%,164 of 309,134 of 219,0 of 1,0 of 15,0%,0%,0,0,1,0,0,1,87 of 216,46 of 115,22 of 33,17 of 28,10 of 12,7 of 9,85 of 212,61 of 139,34 of 49,9 of 13,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Women's Strawweight Bout,Karolina Kowalkiewicz
1498,Rustam Khabilov,Chris Wade,0,1,50 of 73,25 of 58,68%,43%,79 of 110,42 of 76,6 of 9,0 of 0,66%,0%,0,0,4,1,1,1,39 of 59,11 of 38,2 of 3,7 of 11,9 of 11,7 of 9,20 of 40,22 of 52,2 of 3,3 of 3,28 of 30,0 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Lightweight Bout,Rustam Khabilov
1499,Magnus Cedenblad,Garreth McLellan,1,0,21 of 44,12 of 33,47%,36%,21 of 44,12 of 33,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,16 of 36,2 of 17,5 of 8,1 of 4,0 of 0,9 of 12,16 of 35,12 of 33,5 of 9,0 of 0,0 of 0,0 of 0,KO/TKO,2,0:47,3 Rnd (5-5-5),Lukasz Bosacki,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Middleweight Bout,Magnus Cedenblad
1500,Jon Tuck,Josh Emmett,0,0,53 of 180,54 of 152,29%,35%,54 of 181,54 of 153,0 of 1,0 of 2,0%,0%,0,0,0,0,0,0,29 of 150,32 of 114,12 of 16,11 of 23,12 of 14,11 of 15,52 of 174,54 of 151,1 of 5,0 of 1,0 of 1,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Rich Mitchell,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Lightweight Bout,Josh Emmett
1501,Yan Cabral,Reza Madadi,0,0,32 of 85,27 of 68,37%,39%,61 of 117,36 of 78,1 of 10,1 of 2,10%,50%,0,0,2,0,0,0,19 of 70,18 of 59,11 of 13,8 of 8,2 of 2,1 of 1,14 of 62,14 of 49,17 of 22,13 of 19,1 of 1,0 of 0,KO/TKO,3,1:56,3 Rnd (5-5-5),Leon Roberts,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Lightweight Bout,Reza Madadi
1502,Kyoji Horiguchi,Neil Seery,2,0,72 of 145,40 of 101,49%,39%,83 of 158,51 of 112,6 of 8,0 of 5,75%,0%,0,1,6,0,0,0,44 of 108,36 of 91,18 of 27,2 of 8,10 of 10,2 of 2,50 of 109,34 of 91,12 of 15,3 of 5,10 of 21,3 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Flyweight Bout,Kyoji Horiguchi
1503,Leon Edwards,Dominic Waters,0,0,24 of 35,3 of 16,68%,18%,55 of 69,39 of 54,2 of 3,4 of 12,66%,33%,1,0,7,3,0,0,17 of 28,1 of 12,7 of 7,2 of 2,0 of 0,0 of 2,8 of 17,3 of 15,1 of 1,0 of 1,15 of 17,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lukasz Bosacki,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Welterweight Bout,Leon Edwards
1504,Ulka Sasaki,Willie Gates,0,0,7 of 23,13 of 32,30%,40%,26 of 46,31 of 50,4 of 10,0 of 0,40%,0%,1,0,5,0,0,0,5 of 20,7 of 25,2 of 3,5 of 6,0 of 0,1 of 1,3 of 18,9 of 22,0 of 0,1 of 6,4 of 5,3 of 4,Submission,2,3:30,3 Rnd (5-5-5),Rich Mitchell,2016-05-08,"Rotterdam, Zuid-Holland, Netherlands",Flyweight Bout,Ulka Sasaki
1505,Jon Jones,Ovince Saint Preux,0,0,105 of 157,57 of 160,66%,35%,111 of 163,58 of 161,3 of 5,0 of 0,60%,0%,0,0,4,0,0,0,35 of 63,29 of 113,24 of 29,12 of 23,46 of 65,16 of 24,76 of 120,46 of 143,11 of 18,11 of 17,18 of 19,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,2016-04-23,"Las Vegas, Nevada, USA",UFC Interim Light Heavyweight Title Bout,Jon Jones
1506,Demetrious Johnson,Henry Cejudo,1,0,21 of 33,6 of 17,63%,35%,35 of 47,8 of 19,0 of 0,1 of 1,0%,100%,0,0,0,0,0,0,10 of 19,1 of 7,9 of 11,3 of 5,2 of 3,2 of 5,6 of 14,2 of 9,15 of 17,4 of 8,0 of 2,0 of 0,KO/TKO,1,2:49,5 Rnd (5-5-5-5-5),John McCarthy,2016-04-23,"Las Vegas, Nevada, USA",UFC Flyweight Title Bout,Demetrious Johnson
1507,Anthony Pettis,Edson Barboza,0,0,48 of 131,73 of 164,36%,44%,48 of 131,73 of 164,0 of 3,0 of 0,0%,0%,0,0,0,0,0,0,35 of 116,27 of 101,5 of 7,15 of 26,8 of 8,31 of 37,48 of 131,73 of 163,0 of 0,0 of 1,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-04-23,"Las Vegas, Nevada, USA",Lightweight Bout,Edson Barboza
1508,Robert Whittaker,Rafael Natal,0,0,89 of 176,62 of 137,50%,45%,92 of 179,63 of 138,0 of 0,0 of 4,0%,0%,0,0,0,0,0,0,51 of 129,36 of 95,10 of 11,4 of 15,28 of 36,22 of 27,83 of 166,61 of 135,2 of 4,1 of 2,4 of 6,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-04-23,"Las Vegas, Nevada, USA",Middleweight Bout,Robert Whittaker
1509,Yair Rodriguez,Andre Fili,1,0,25 of 53,11 of 31,47%,35%,39 of 68,20 of 40,2 of 2,1 of 2,100%,50%,0,0,3,0,0,0,11 of 37,6 of 24,7 of 9,4 of 5,7 of 7,1 of 2,16 of 37,9 of 27,0 of 0,0 of 0,9 of 16,2 of 4,KO/TKO,2,2:15,3 Rnd (5-5-5),Dan Miragliotta,2016-04-23,"Las Vegas, Nevada, USA",Featherweight Bout,Yair Rodriguez
1510,Sergio Pettis,Chris Kelades,0,0,61 of 112,35 of 112,54%,31%,85 of 140,69 of 148,2 of 10,1 of 7,20%,14%,0,0,2,1,1,0,53 of 103,22 of 93,1 of 2,7 of 12,7 of 7,6 of 7,53 of 100,21 of 94,7 of 11,12 of 16,1 of 1,2 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2016-04-23,"Las Vegas, Nevada, USA",Flyweight Bout,Sergio Pettis
1511,Danny Roberts,Dominique Steele,0,1,60 of 112,34 of 75,53%,45%,66 of 119,56 of 98,0 of 0,6 of 14,0%,42%,0,0,0,1,0,0,34 of 78,20 of 55,23 of 30,11 of 17,3 of 4,3 of 3,27 of 68,12 of 33,23 of 33,19 of 36,10 of 11,3 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-04-23,"Las Vegas, Nevada, USA",Welterweight Bout,Danny Roberts
1512,Carla Esparza,Juliana Lima,0,0,28 of 42,26 of 43,66%,60%,130 of 167,56 of 76,5 of 7,0 of 3,71%,0%,0,0,4,1,0,2,15 of 27,18 of 34,13 of 15,7 of 8,0 of 0,1 of 1,5 of 13,7 of 17,1 of 2,5 of 6,22 of 27,14 of 20,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,2016-04-23,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Carla Esparza
1513,Glaico Franca,James Vick,0,0,39 of 114,94 of 172,34%,54%,67 of 145,140 of 218,4 of 10,0 of 0,40%,0%,0,0,3,0,0,0,20 of 89,82 of 157,7 of 10,9 of 12,12 of 15,3 of 3,38 of 112,94 of 171,0 of 0,0 of 1,1 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2016-04-23,"Las Vegas, Nevada, USA",Lightweight Bout,James Vick
1514,Walt Harris,Cody East,1,0,31 of 58,26 of 62,53%,41%,40 of 69,26 of 62,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,25 of 51,16 of 47,4 of 5,3 of 6,2 of 2,7 of 9,13 of 30,22 of 53,4 of 8,4 of 9,14 of 20,0 of 0,KO/TKO,1,4:18,3 Rnd (5-5-5),Mark Smith,2016-04-23,"Las Vegas, Nevada, USA",Heavyweight Bout,Walt Harris
1515,Marcos Rogerio de Lima,Clint Hester,1,0,29 of 41,0 of 5,70%,0%,84 of 103,1 of 6,0 of 0,0 of 0,0%,0%,1,0,3,0,0,0,24 of 35,0 of 5,1 of 2,0 of 0,4 of 4,0 of 0,7 of 13,0 of 5,0 of 0,0 of 0,22 of 28,0 of 0,Submission,1,4:35,3 Rnd (5-5-5),Dan Miragliotta,2016-04-23,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Marcos Rogerio de Lima
1516,Efrain Escudero,Kevin Lee,0,0,70 of 114,64 of 160,61%,40%,96 of 141,99 of 200,1 of 7,1 of 4,14%,25%,0,1,0,1,0,0,34 of 69,44 of 134,13 of 18,17 of 23,23 of 27,3 of 3,53 of 96,44 of 135,17 of 18,12 of 12,0 of 0,8 of 13,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2016-04-23,"Las Vegas, Nevada, USA",Lightweight Bout,Kevin Lee
1517,Glover Teixeira,Rashad Evans,1,0,6 of 17,7 of 14,35%,50%,7 of 18,8 of 15,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,5 of 16,7 of 14,1 of 1,0 of 0,0 of 0,0 of 0,3 of 12,5 of 11,2 of 2,2 of 3,1 of 3,0 of 0,KO/TKO,1,1:48,5 Rnd (5-5-5-5-5),Herb Dean,2016-04-16,"Tampa, Florida, USA",Light Heavyweight Bout,Glover Teixeira
1518,Rose Namajunas,Tecia Torres,0,0,46 of 156,61 of 121,29%,50%,48 of 160,93 of 155,2 of 4,0 of 1,50%,0%,0,0,0,0,0,0,27 of 126,20 of 74,15 of 25,13 of 18,4 of 5,28 of 29,41 of 145,51 of 108,0 of 3,9 of 12,5 of 8,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2016-04-16,"Tampa, Florida, USA",Women's Strawweight Bout,Rose Namajunas
1519,Khabib Nurmagomedov,Darrell Horcher,0,0,75 of 105,6 of 27,71%,22%,107 of 139,18 of 42,2 of 3,0 of 0,66%,0%,0,0,7,0,0,0,73 of 103,4 of 23,0 of 0,1 of 3,2 of 2,1 of 1,3 of 10,5 of 26,1 of 1,0 of 0,71 of 94,1 of 1,KO/TKO,2,3:38,3 Rnd (5-5-5),James Warring,2016-04-16,"Tampa, Florida, USA",Catch Weight Bout,Khabib Nurmagomedov
1520,Cub Swanson,Hacran Dias,2,0,83 of 148,55 of 131,56%,41%,95 of 161,58 of 136,0 of 0,0 of 1,0%,0%,0,0,1,0,0,0,36 of 92,37 of 103,23 of 28,5 of 12,24 of 28,13 of 16,53 of 108,54 of 126,2 of 2,1 of 3,28 of 38,0 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-04-16,"Tampa, Florida, USA",Featherweight Bout,Cub Swanson
1521,Beneil Dariush,Michael Chiesa,0,0,27 of 53,11 of 52,50%,21%,27 of 53,12 of 53,1 of 4,1 of 2,25%,50%,0,2,0,1,0,0,11 of 33,7 of 45,4 of 7,1 of 4,12 of 13,3 of 3,24 of 47,9 of 47,3 of 6,2 of 5,0 of 0,0 of 0,Submission,2,1:20,3 Rnd (5-5-5),Dan Miragliotta,2016-04-16,"Tampa, Florida, USA",Lightweight Bout,Michael Chiesa
1522,Bethe Correia,Raquel Pennington,0,0,66 of 171,75 of 130,38%,57%,99 of 209,84 of 139,0 of 1,0 of 4,0%,0%,0,0,0,0,0,0,45 of 137,45 of 96,13 of 23,22 of 26,8 of 11,8 of 8,47 of 141,46 of 89,19 of 30,29 of 41,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),James Warring,2016-04-16,"Tampa, Florida, USA",Women's Bantamweight Bout,Raquel Pennington
1523,Court McGee,Santiago Ponzinibbio,0,1,35 of 95,38 of 73,36%,52%,37 of 98,39 of 74,0 of 4,0 of 0,0%,0%,0,0,0,0,0,0,26 of 78,34 of 65,4 of 10,0 of 4,5 of 7,4 of 4,34 of 94,31 of 58,1 of 1,4 of 10,0 of 0,3 of 5,KO/TKO,1,4:15,3 Rnd (5-5-5),Herb Dean,2016-04-16,"Tampa, Florida, USA",Welterweight Bout,Santiago Ponzinibbio
1524,Randy Brown,Michael Graves,0,0,10 of 19,11 of 22,52%,50%,24 of 35,26 of 40,0 of 1,2 of 7,0%,28%,1,1,0,2,0,0,7 of 16,10 of 20,3 of 3,1 of 1,0 of 0,0 of 1,3 of 11,0 of 3,6 of 7,2 of 2,1 of 1,9 of 17,Submission,2,2:31,3 Rnd (5-5-5),Dan Miragliotta,2016-04-16,"Tampa, Florida, USA",Welterweight Bout,Michael Graves
1525,John Dodson,Manvel Gamburyan,1,0,16 of 19,2 of 2,84%,100%,18 of 21,2 of 3,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,15 of 18,1 of 1,1 of 1,0 of 0,0 of 0,1 of 1,5 of 6,2 of 2,9 of 10,0 of 0,2 of 3,0 of 0,KO/TKO,1,0:37,3 Rnd (5-5-5),James Warring,2016-04-16,"Tampa, Florida, USA",Bantamweight Bout,John Dodson
1526,Oluwale Bamgbose,Cezar Ferreira,1,0,20 of 51,26 of 58,39%,44%,66 of 107,62 of 99,0 of 0,3 of 5,0%,60%,0,0,0,0,0,0,13 of 41,21 of 47,3 of 5,1 of 4,4 of 5,4 of 7,12 of 36,8 of 27,0 of 0,0 of 0,8 of 15,18 of 31,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2016-04-16,"Tampa, Florida, USA",Middleweight Bout,Cezar Ferreira
1527,Elizeu Zaleski dos Santos,Omari Akhmedov,0,0,72 of 146,36 of 105,49%,34%,78 of 152,57 of 129,0 of 3,3 of 7,0%,42%,1,1,2,1,1,0,50 of 119,28 of 90,18 of 23,6 of 11,4 of 4,2 of 4,35 of 100,22 of 86,36 of 45,11 of 14,1 of 1,3 of 5,KO/TKO,3,3:03,3 Rnd (5-5-5),Dan Miragliotta,2016-04-16,"Tampa, Florida, USA",Welterweight Bout,Elizeu Zaleski dos Santos
1528,Ben Rothwell,Junior Dos Santos,0,0,77 of 212,157 of 247,36%,63%,78 of 213,157 of 247,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,51 of 179,65 of 147,7 of 12,92 of 100,19 of 21,0 of 0,75 of 210,156 of 246,2 of 2,1 of 1,0 of 0,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Leon Roberts,2016-04-10,"Zagreb, Croatia",Heavyweight Bout,Junior Dos Santos
1529,Derrick Lewis,Gabriel Gonzaga,1,0,17 of 25,5 of 7,68%,71%,21 of 29,6 of 8,0 of 0,1 of 6,0%,16%,0,0,0,2,0,0,15 of 20,3 of 5,2 of 5,1 of 1,0 of 0,1 of 1,7 of 12,0 of 2,9 of 11,2 of 2,1 of 2,3 of 3,KO/TKO,1,4:48,3 Rnd (5-5-5),Marc Goddard,2016-04-10,"Zagreb, Croatia",Heavyweight Bout,Derrick Lewis
1530,Francis Ngannou,Curtis Blaydes,0,0,36 of 84,24 of 58,42%,41%,46 of 95,31 of 65,0 of 0,2 of 6,0%,33%,0,0,0,1,0,0,32 of 78,16 of 46,2 of 4,1 of 2,2 of 2,7 of 10,31 of 79,21 of 54,5 of 5,3 of 4,0 of 0,0 of 0,TKO - Doctor's Stoppage,2,5:00,3 Rnd (5-5-5),Kevin Sataki,2016-04-10,"Zagreb, Croatia",Heavyweight Bout,Francis Ngannou
1531,Tim Johnson,Marcin Tybura,0,0,45 of 127,48 of 101,35%,47%,83 of 169,75 of 128,0 of 0,1 of 3,0%,33%,0,0,0,1,0,0,34 of 113,30 of 78,6 of 9,14 of 19,5 of 5,4 of 4,33 of 111,37 of 89,12 of 16,11 of 12,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Grant Waterman,2016-04-10,"Zagreb, Croatia",Heavyweight Bout,Tim Johnson
1532,Igor Pokrajac,Jan Blachowicz,0,0,35 of 73,98 of 153,47%,64%,61 of 100,148 of 210,0 of 1,4 of 4,0%,100%,0,0,3,4,1,0,33 of 70,70 of 118,2 of 3,28 of 35,0 of 0,0 of 0,15 of 46,23 of 48,11 of 17,29 of 40,9 of 10,46 of 65,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2016-04-10,"Zagreb, Croatia",Light Heavyweight Bout,Jan Blachowicz
1533,Maryna Moroz,Cristina Stanciu,0,0,35 of 85,39 of 76,41%,51%,55 of 110,50 of 88,1 of 3,1 of 1,33%,100%,1,2,3,0,0,0,18 of 62,15 of 46,16 of 21,14 of 20,1 of 2,10 of 10,22 of 71,30 of 63,0 of 0,1 of 4,13 of 14,8 of 9,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,2016-04-10,"Zagreb, Croatia",Women's Strawweight Bout,Maryna Moroz
1534,Nicolas Dalby,Zak Cummings,0,1,57 of 150,56 of 158,38%,35%,69 of 163,77 of 183,0 of 1,1 of 3,0%,33%,0,1,0,3,0,0,29 of 103,38 of 132,11 of 24,11 of 19,17 of 23,7 of 7,52 of 139,51 of 150,4 of 9,1 of 1,1 of 2,4 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2016-04-10,"Zagreb, Croatia",Welterweight Bout,Zak Cummings
1535,Ian Entwistle,Alejandro Perez,0,0,0 of 2,48 of 67,0%,71%,0 of 2,87 of 115,0 of 1,0 of 0,0%,0%,1,0,0,1,0,0,0 of 2,48 of 67,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,2 of 4,0 of 0,0 of 0,0 of 0,46 of 63,KO/TKO,1,4:04,3 Rnd (5-5-5),Grant Waterman,2016-04-10,"Zagreb, Croatia",Bantamweight Bout,Alejandro Perez
1536,Mairbek Taisumov,Damir Hadzovic,1,0,25 of 59,11 of 43,42%,25%,25 of 59,11 of 43,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,18 of 48,9 of 40,1 of 5,1 of 2,6 of 6,1 of 1,25 of 59,11 of 42,0 of 0,0 of 1,0 of 0,0 of 0,KO/TKO,1,3:44,3 Rnd (5-5-5),,2016-04-10,"Zagreb, Croatia",Lightweight Bout,Mairbek Taisumov
1537,Filip Pejic,Damian Stasiak,0,0,0 of 2,2 of 3,0%,66%,2 of 4,3 of 5,0 of 0,2 of 2,0%,100%,0,1,1,3,0,0,0 of 2,1 of 2,0 of 0,0 of 0,0 of 0,1 of 1,0 of 2,1 of 1,0 of 0,0 of 0,0 of 0,1 of 2,Submission,1,2:16,3 Rnd (5-5-5),Marc Goddard,2016-04-10,"Zagreb, Croatia",Bantamweight Bout,Damian Stasiak
1538,Rob Whiteford,Lucas Martins,0,0,45 of 99,30 of 87,45%,34%,90 of 158,31 of 88,1 of 4,0 of 0,25%,0%,0,0,1,0,0,0,20 of 64,20 of 69,14 of 20,4 of 10,11 of 15,6 of 8,41 of 92,29 of 84,4 of 7,1 of 3,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Leon Roberts,2016-04-10,"Zagreb, Croatia",Featherweight Bout,Lucas Martins
1539,Jared Cannonier,Cyril Asker,1,0,27 of 34,13 of 39,79%,33%,27 of 34,13 of 39,0 of 0,0 of 3,0%,0%,0,0,1,0,0,0,15 of 22,10 of 35,9 of 9,3 of 4,3 of 3,0 of 0,17 of 24,12 of 38,4 of 4,1 of 1,6 of 6,0 of 0,KO/TKO,1,2:44,3 Rnd (5-5-5),Grant Waterman,2016-04-10,"Zagreb, Croatia",Heavyweight Bout,Jared Cannonier
1540,Alessio Di Chirico,Bojan Velickovic,0,0,65 of 148,45 of 135,43%,33%,78 of 161,56 of 148,2 of 3,1 of 5,66%,20%,0,1,1,1,0,1,40 of 111,16 of 89,16 of 25,9 of 17,9 of 12,20 of 29,61 of 142,43 of 131,2 of 3,2 of 4,2 of 3,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin Sataki,2016-04-10,"Zagreb, Croatia",Middleweight Bout,Bojan Velickovic
1541,Mark Hunt,Frank Mir,1,0,8 of 19,1 of 10,42%,10%,8 of 19,2 of 11,0 of 0,0 of 3,0%,0%,0,0,0,0,0,0,6 of 14,1 of 10,1 of 2,0 of 0,1 of 3,0 of 0,8 of 19,1 of 10,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,1,3:01,5 Rnd (5-5-5-5-5),Marc Goddard,2016-03-19,"Brisbane, Queensland, Australia",Heavyweight Bout,Mark Hunt
1542,Hector Lombard,Neil Magny,2,0,60 of 79,148 of 197,75%,75%,75 of 95,196 of 250,1 of 3,1 of 2,33%,50%,0,2,2,5,0,0,54 of 71,133 of 181,2 of 3,12 of 13,4 of 5,3 of 3,12 of 21,32 of 69,7 of 9,16 of 16,41 of 49,100 of 112,KO/TKO,3,0:46,3 Rnd (5-5-5),Steve Perceval,2016-03-19,"Brisbane, Queensland, Australia",Welterweight Bout,Neil Magny
1543,Jake Matthews,Johnny Case,0,0,36 of 114,35 of 100,31%,35%,50 of 129,49 of 116,0 of 4,1 of 6,0%,16%,2,0,2,1,0,0,15 of 81,15 of 66,10 of 19,14 of 26,11 of 14,6 of 8,30 of 100,27 of 86,4 of 9,2 of 6,2 of 5,6 of 8,Submission,3,4:45,3 Rnd (5-5-5),John Sharp,2016-03-19,"Brisbane, Queensland, Australia",Lightweight Bout,Jake Matthews
1544,Daniel Kelly,Antonio Carlos Junior,0,0,37 of 88,33 of 62,42%,53%,57 of 112,52 of 87,0 of 1,2 of 9,0%,22%,0,0,1,2,0,0,30 of 80,22 of 47,3 of 3,9 of 12,4 of 5,2 of 3,8 of 37,26 of 52,3 of 5,2 of 4,26 of 46,5 of 6,KO/TKO,3,1:36,3 Rnd (5-5-5),Greg Kleynjans,2016-03-19,"Brisbane, Queensland, Australia",Middleweight Bout,Daniel Kelly
1545,James Te Huna,Steve Bosse,0,1,1 of 7,5 of 12,14%,41%,1 of 7,5 of 12,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,0 of 4,3 of 8,1 of 3,1 of 3,0 of 0,1 of 1,1 of 7,5 of 12,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,1,0:52,3 Rnd (5-5-5),Marc Goddard,2016-03-19,"Brisbane, Queensland, Australia",Light Heavyweight Bout,Steve Bosse
1546,Bec Rawlings,Seohee Ham,0,0,77 of 183,92 of 247,42%,37%,90 of 199,119 of 276,1 of 3,0 of 2,33%,0%,0,1,1,0,0,1,61 of 156,61 of 202,16 of 27,27 of 38,0 of 0,4 of 7,63 of 164,81 of 231,6 of 11,7 of 11,8 of 8,4 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Perceval,2016-03-19,"Brisbane, Queensland, Australia",Women's Strawweight Bout,Bec Rawlings
1547,Brendan O'Reilly,Alan Jouban,0,1,8 of 17,32 of 40,47%,80%,12 of 21,37 of 45,1 of 1,0 of 0,100%,0%,0,0,2,0,0,0,3 of 12,22 of 30,4 of 4,9 of 9,1 of 1,1 of 1,3 of 9,11 of 15,5 of 7,16 of 19,0 of 1,5 of 6,KO/TKO,1,2:15,3 Rnd (5-5-5),John Sharp,2016-03-19,"Brisbane, Queensland, Australia",Welterweight Bout,Alan Jouban
